DATE,철광석 채굴 Index,Global Price of Iron Ore,Dow Jones,S&P 500,NASDAQ,연방기금금리,OECD 경기선행지수,China / US Foreign Exchange Rate,"Nikkei Stock Average, Nikkei 225",Global Price of Agr: Raw Material Index,1차 금속 생산지수
2011-07-01,116.0421,172.9761905,12469.685,1322.73375,2806.93,0.068,100.1749575,6.457535,9996.6785,161.7441445,110.7948
2011-08-01,116.2086,177.45,11326.61783,1185.305652,2504.623043,0.097826087,99.9048217,6.403604348,9072.942609,152.9638507,110.9092
2011-09-01,112.3580,177.2272727,11175.45381,1173.879048,2524.13619,0.083809524,99.70062221,6.388457143,8695.424,149.9558406,112.389
2011-10-01,110.7649,150.4333333,11515.93095,1207.21619,2594.781905,0.072,99.59055761,6.370955,8733.563,142.2072664,111.9441
2011-11-01,114.8039,135.5409091,11804.33286,1226.414286,2606.289048,0.082,99.56578426,6.35641,8506.105,132.1447273,113.0921
2011-12-01,118.0810,136.455,12075.68286,1243.322857,2601.67,0.071428571,99.59538022,6.348209524,8505.991905,128.099234,113.7124
2012-01-01,117.4728,140.347619,12550.892,1300.5775,2743.795,0.0845,99.63784609,6.31717,8616.708947,132.9919714,112.5333
2012-02-01,119.3603,140.3952381,12889.0495,1352.4875,2928.9805,0.105,99.65755267,6.29969,9242.327143,137.7577224,113.673
2012-03-01,111.3412,144.6636364,13079.465,1389.24,3035.915909,0.127272727,99.6314953,6.312481818,9962.347143,135.7068003,109.7768
2012-04-01,110.8287,147.6473684,13030.754,1386.429,3035.1015,0.145238095,99.55424966,6.304328571,9627.42,135.8220046,111.4476
2012-05-01,109.3161,136.2727273,12721.08455,1341.272727,2900.409091,0.156363636,99.43958514,6.324204545,8842.540952,132.7947718,109.0645
2012-06-01,109.1037,134.6210526,12544.90476,1323.484286,2850.354762,0.161904762,99.3118791,6.363257143,8638.079524,124.0249227,107.0725
2012-07-01,107.0475,127.9363636,12814.1019,1359.77619,2920.114286,0.158571429,99.20140369,6.371742857,8760.678095,123.2200509,108.0844
2012-08-01,107.9654,107.7954545,13134.90261,1403.440435,3032.666522,0.132173913,99.12692756,6.359278261,8949.876087,120.0496536,108.9996
2012-09-01,112.7237,99.47,13418.49842,1443.419474,3136.802632,0.149473684,99.10070001,6.32,8948.59,122.553142,104.7697
2012-10-01,116.9174,113.9478261,13380.64524,1437.816667,3060.261905,0.159090909,99.11971724,6.262731818,8827.386364,123.4756243,105.1042
2012-11-01,112.4878,120.3454545,12896.44238,1394.512381,2941.015238,0.161,99.1812503,6.23375,9059.86,122.6077785,108.6405
2012-12-01,120.6518,128.8736842,13144.1825,1422.2855,3003.792,0.163,99.28083886,6.232815,9814.377368,124.2590681,110.6671
2013-01-01,115.6990,150.4909091,13615.32286,1480.395238,3125.913333,0.144285714,99.40429132,6.221519048,10750.85474,126.6262237,112.4951
2013-02-01,112.6708,154.6388889,13967.33,1512.311579,3169.213158,0.142105263,99.53751015,6.232268421,11336.44474,125.0054034,111.849
2013-03-01,111.7387,139.87,14418.258,1550.829,3236.167,0.146190476,99.66360018,6.215438095,12244.0285,124.0335325,112.0104
2013-04-01,98.5661,137.3909091,14675.90909,1570.702273,3251.351818,0.145,99.78647928,6.186109091,13224.06143,123.4320038,111.8807
2013-05-01,107.1831,124.0095238,15172.18045,1639.842727,3440.375455,0.108636364,99.9113986,6.141631818,14532.40667,126.885384,112.3958
2013-06-01,105.2234,114.815,15035.7545,1618.7725,3416.7415,0.0955,100.0336622,6.13415,13106.6185,124.5636148,111.3116
2013-07-01,110.0599,127.1913043,15390.21136,1668.675455,3559.710909,0.092272727,100.1508185,6.13425,14317.54318,119.1202849,112.9673
2013-08-01,117.1996,137.055,15195.34773,1670.093636,3639.928636,0.082727273,100.2646614,6.121263636,13726.66364,119.642447,112.9074
2013-09-01,123.5387,134.1857143,15269.841,1687.1735,3731.262,0.081,100.3692513,6.119815,14372.11684,119.3110063,113.2943
2013-10-01,108.5959,132.5727273,15289.2913,1720.026522,3848.202174,0.085454545,100.4564893,6.103213636,14329.02273,118.7641465,115.01
2013-11-01,112.0732,136.3238095,15870.828,1783.541,3957.5325,0.084736842,100.5244264,6.092931579,14931.7375,118.5750369,113.3416
2013-12-01,99.5223,135.7904762,16095.77476,1807.775238,4075.884762,0.086190476,100.5677239,6.0738,15655.226,121.2204481,113.4613
2014-01-01,106.7453,128.1190476,16243.72238,1822.356667,4154.360952,0.071428571,100.59081,6.050938095,15578.28,118.6110469,111.3878
2014-02-01,95.9362,121.37,15958.44316,1817.034737,4199.451053,0.067368421,100.6076698,6.0816,14617.57053,118.4017254,112.9943
2014-03-01,114.0608,111.8333333,16308.62762,1863.523333,4276.359048,0.079047619,100.6232957,6.17287619,14694.8265,121.4202929,113.7414
2014-04-01,107.7934,114.5809524,16399.50238,1864.263333,4119.30619,0.090454545,100.6258925,6.224613636,14475.33381,118.5956851,113.7874
