Date,Price
1/1/1980,12.15
1/2/1980,12.15
1/3/1980,12.15
1/4/1980,12.15
1/5/1980,12.15
1/6/1980,12.15
1/7/1980,12.15
1/8/1980,12.15
1/9/1980,12.15
1/10/1980,12.15
1/11/1980,12.15
1/12/1980,12.15
1/1/1981,12.15
1/2/1981,12.15
1/3/1981,12.15
1/4/1981,12.15
1/5/1981,12.15
1/6/1981,12.15
1/7/1981,12.15
1/8/1981,12.15
1/9/1981,12.15
1/10/1981,12.15
1/11/1981,12.15
1/12/1981,12.15
1/1/1982,14.05
1/2/1982,14.05
1/3/1982,14.05
1/4/1982,14.05
1/5/1982,14.05
1/6/1982,14.05
1/7/1982,14.05
1/8/1982,14.05
1/9/1982,14.05
1/10/1982,14.05
1/11/1982,14.05
1/12/1982,14.05
1/1/1983,12.54
1/2/1983,12.54
1/3/1983,12.54
1/4/1983,12.54
1/5/1983,12.54
1/6/1983,12.54
1/7/1983,12.54
1/8/1983,12.54
1/9/1983,12.54
1/10/1983,12.54
1/11/1983,12.54
1/12/1983,12.54
1/1/1984,11.31
1/2/1984,11.31
1/3/1984,11.31
1/4/1984,11.31
1/5/1984,11.31
1/6/1984,11.31
1/7/1984,11.31
1/8/1984,11.31
1/9/1984,11.31
1/10/1984,11.31
1/11/1984,11.31
1/12/1984,11.31
1/1/1985,11.49
1/2/1985,11.49
1/3/1985,11.49
1/4/1985,11.49
1/5/1985,11.49
1/6/1985,11.49
1/7/1985,11.49
1/8/1985,11.49
1/9/1985,11.49
1/10/1985,11.49
1/11/1985,11.49
1/12/1985,11.49
1/1/1986,11.36
1/2/1986,11.36
1/3/1986,11.36
1/4/1986,11.36
1/5/1986,11.36
1/6/1986,11.36
1/7/1986,11.36
1/8/1986,11.36
1/9/1986,11.36
1/10/1986,11.36
1/11/1986,11.36
1/12/1986,11.36
1/1/1987,10.94
1/2/1987,10.94
1/3/1987,10.94
1/4/1987,10.94
1/5/1987,10.94
1/6/1987,10.94
1/7/1987,10.94
1/8/1987,10.94
1/9/1987,10.94
1/10/1987,10.94
1/11/1987,10.94
1/12/1987,10.94
1/1/1988,10.51
1/2/1988,10.51
1/3/1988,10.51
1/4/1988,10.51
1/5/1988,10.51
1/6/1988,10.51
1/7/1988,10.51
1/8/1988,10.51
1/9/1988,10.51
1/10/1988,10.51
1/11/1988,10.51
1/12/1988,10.51
1/1/1989,12.03
1/2/1989,12.03
1/3/1989,12.03
1/4/1989,12.03
1/5/1989,12.03
1/6/1989,12.03
1/7/1989,12.03
1/8/1989,12.03
1/9/1989,12.03
1/10/1989,12.03
1/11/1989,12.03
1/12/1989,12.03
1/1/1990,14.05
1/2/1990,14.05
1/3/1990,14.05
1/4/1990,14.05
1/5/1990,14.05
1/6/1990,14.05
1/7/1990,14.05
1/8/1990,14.05
1/9/1990,14.05
1/10/1990,14.05
1/11/1990,14.05
1/12/1990,14.05
1/1/1991,15.03
1/2/1991,15.03
1/3/1991,15.03
1/4/1991,15.03
1/5/1991,15.03
1/6/1991,15.03
1/7/1991,15.03
1/8/1991,15.03
1/9/1991,15.03
1/10/1991,15.03
1/11/1991,15.03
1/12/1991,15.03
1/1/1992,14.31
1/2/1992,14.31
1/3/1992,14.31
1/4/1992,14.31
1/5/1992,14.31
1/6/1992,14.31
1/7/1992,14.31
1/8/1992,14.31
1/9/1992,14.31
1/10/1992,14.31
1/11/1992,14.31
1/12/1992,14.31
1/1/1993,12.58
1/2/1993,12.58
1/3/1993,12.58
1/4/1993,12.58
1/5/1993,12.58
1/6/1993,12.58
1/7/1993,12.58
1/8/1993,12.58
1/9/1993,12.58
1/10/1993,12.58
1/11/1993,12.58
1/12/1993,12.58
1/1/1994,11.45
1/2/1994,11.45
1/3/1994,11.45
1/4/1994,11.45
1/5/1994,11.45
1/6/1994,11.45
1/7/1994,11.45
1/8/1994,11.45
1/9/1994,11.45
1/10/1994,11.45
1/11/1994,11.45
1/12/1994,11.45
1/1/1995,12.27
1/2/1995,12.27
1/3/1995,12.27
1/4/1995,12.27
1/5/1995,12.27
1/6/1995,12.27
1/7/1995,12.27
1/8/1995,12.27
1/9/1995,12.27
1/10/1995,12.27
1/11/1995,12.27
1/12/1995,12.27
1/1/1996,12.97
1/2/1996,12.97
1/3/1996,12.97
1/4/1996,12.97
1/5/1996,12.97
1/6/1996,12.97
1/7/1996,12.97
1/8/1996,12.97
1/9/1996,12.97
1/10/1996,12.97
1/11/1996,12.97
1/12/1996,12.97
1/1/1997,13.04
1/2/1997,13.04
1/3/1997,13.04
1/4/1997,13.04
1/5/1997,13.04
1/6/1997,13.04
1/7/1997,13.04
1/8/1997,13.04
1/9/1997,13.04
1/10/1997,13.04
1/11/1997,13.04
1/12/1997,13.04
1/1/1998,13.41
1/2/1998,13.41
1/3/1998,13.41
1/4/1998,13.41
1/5/1998,13.41
1/6/1998,13.41
1/7/1998,13.41
1/8/1998,13.41
1/9/1998,13.41
1/10/1998,13.41
1/11/1998,13.41
1/12/1998,13.41
1/1/1999,11.93
1/2/1999,11.93
1/3/1999,11.93
1/4/1999,11.93
1/5/1999,11.93
1/6/1999,11.93
